2026,,,,,,,,,
Articles ,Prix achat unitaire ,Quantité ,Prix vente unitaire ,Articles vendus ,Articles restants ,Dépenses totales ,Prix ventes totales ,Bénéfices ,
,,49,,,,72,,,
,"0,99",4,,3,1,"3,96",,,
,"1,49",1,,1,0,"1,49",,,
,"21,51",1,,,1,"21,51",,,
,,,,,,"26,05",,,
,"3,89",2,6,2,0,"7,78",12,"4,22",
,"3,89",4,6,4,0,"15,56",24,"8,44",
,"3,89",3,6,3,0,"11,67",18,"6,33",
,"3,89",2,6,,2,"7,78",0,"-7,78",
,"3,89",1,6,1,0,"3,89",6,"2,11",
,"3,89",1,6,1,0,"3,89",6,"2,11",
,"1,28",4,5,2,2,"5,12",10,"4,88",
,"1,28",1,5,1,0,"1,28",5,"3,72",
,"2,99",1,6,1,0,"2,99",6,"3,01",
,"2,99",1,6,1,0,"2,99",6,"3,01",
,"2,99",1,6,1,0,"2,99",6,"3,01",
,"3,33",3,"9,33",3,0,"9,99","27,99",18,
,"5,95",2,10,2,0,"11,9",20,"8,1",
,"3,99",2,9,2,0,"7,98",18,"10,02",
,"4,79",3,11,3,0,"14,37",33,"18,63",
,"10,46",1,20,1,0,"10,46",20,"9,54",
,"3,99",2,"10,5",1,1,"7,98","10,5","2,52",
,"5,95",3,"9,5",1,2,"17,85","9,5","-8,35",
,"2,49",3,8,,3,"7,47",0,"-7,47",
,"4,79",6,11,3,3,"28,74",33,"4,26",
,"3,99",2,10,,2,"7,98",0,"-7,98",
,"4,99",2,10,,2,"9,98",0,"-9,98",
,"4,99",2,10,,2,"9,98",0,"-9,98",
,"4,99",2,10,1,1,"9,98",10,"0,02",
,"25,9",1,35,1,0,"25,9",35,"9,1",
,"25,9",1,33,1,0,"25,9",33,"7,1",
,"35,9",1,46,1,0,"35,9",46,"10,1",
,"35,9",1,48,1,0,"35,9",48,"12,1",
,"4,99",4,"8,75",4,0,"19,96",35,"15,04",
,"2,99",2,"7,5",2,0,"5,98",15,"9,02",
,"1,99",2,5,2,0,"3,98",10,"6,02",
,"1,99",1,5,1,0,"1,99",5,"3,01",
,"2,39",2,5,2,0,"4,78",10,"5,22",
,"2,39",1,5,1,0,"2,39",5,"2,61",
,"2,69",2,5,,2,"5,38",0,"-5,38",
,"3,09",2,5,,2,"6,18",0,"-6,18",
,"1,795",2,3,,2,"3,59",0,"-3,59",
,"1,795",2,3,,2,"3,59",0,"-3,59",
,"1,795",2,3,,2,"3,59",0,"-3,59",
,"1,795",2,3,,2,"3,59",0,"-3,59",
,"1,795",2,3,,2,"3,59",0,"-3,59",
,0,7,8,,7,0,0,0,
,0,3,14,,3,0,0,0,
,"1,49",4,"4,5",1,3,"5,96","4,5","-1,46",
,"1,49",1,,,1,"1,49",0,"-1,49",
,"1,15",2,"3,5",,2,"2,3",0,"-2,3",
,"1,49",3,7,3,0,"4,47",21,"16,53",
,"1,54",5,7,5,0,"7,7",35,"27,3",
,"1,47",2,7,,2,"2,94",0,"-2,94",
,"1,54",3,7,2,1,"4,62",14,"9,38",
,"1,47",7,7,5,2,"10,29",35,"24,71",
,"0,94",5,"2,5",2,1,"4,7",5,"0,3",
,"1,78",2,"3,5",1,0,"3,56","3,5","-0,06",
,"1,69",2,,,,"3,38",0,"-3,38",
,"1,78",2,"3,5",,2,"3,56",0,"-3,56",
,"2,49",3,6,1,2,"7,47",6,"-1,47",
,"2,49",3,6,3,0,"7,47",18,"10,53",
,"2,99",12,6,7,5,"35,88",42,"6,12",
,"2,99",27,6,18,9,"80,73",108,"27,27",
Product_X1,8,10,10,0,10,80,0,-80,Upload Error
Totaux,,183,,102,76,"724,32","814,99","215,68",
,,,,,,,,"90,67",
